"satz_id";"variante_H2O";"wiederholung";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input";"wasser_input_Vortag"
2;"Wred";"b";53.05;72.41;92.07;53.37;76.6;93.04;31;20.74;20.74;15.2;24.6;54.08;41;74.5;3777.52;2.8;13.73;13.73;714.49;702.6;162531.12;19.6;451.44;451.44;20;30;50;1.2;3.96568006769501;21.5357042760286;0;0
2;"Wred";"b";52.33;68.48;90.9;53.05;72.41;92.07;32;18.49;18.49;10.7;24.8;61.9;38.6;91.6;4482.3;0.82;13.67;13.67;732.98;721.08;167013.42;19.6;465.11;465.11;20;30;50;1.2;3.99449449292314;21.7946246329334;0;0
2;"Wred";"b";52.31;64.61;89.94;52.33;68.48;90.9;33;18.91;18.91;13.5;23.9;66.7;42.6;93.2;3916.05;1.18;13.61;13.61;751.89;740;170929.48;20;478.72;478.72;20;30;50;1.2;4.0179736349571;22.0429030475196;0.4;0
2;"Wred";"b";53.05;60.66;88.48;52.31;64.61;89.94;34;16.79;16.79;11.1;22.2;71.03;49.9;94.1;3823.07;1.2;13.55;13.55;768.68;756.79;174752.55;20;492.27;492.27;20;30;50;1.2;4.03707522201012;22.2807459282524;0;0.4
2;"Wred";"b";52.6;58.03;86.99;53.05;60.66;88.48;35;16.86;16.86;12.4;21.5;71.5;54.3;88;2102.15;1;13.49;13.49;785.54;773.64;176854.7;20;505.76;505.76;20;30;50;1.2;4.05259828519523;22.5083836684885;0;0
2;"Wred";"b";52.38;56.33;85.58;52.6;58.03;86.99;36;16.03;16.03;12.9;21.7;86.12;62.2;93.9;2835.7;0.77;13.43;13.43;801.57;789.67;179690.4;46;519.19;519.19;20;30;50;1.2;4.06520417934381;22.7260669450986;26;0
2;"Wred";"b";53.5233333333333;55.76;84.55;52.38;56.33;85.58;37;16.95;16.95;14;22.6;71.54;45.1;90.9;3418.85;1.54;13.37;13.37;818.52;806.62;183109.25;46;532.56;532.56;20;30;50;1.2;4.07543697077247;22.9340632331177;0;26
2;"Wred";"b";54.6666666666667;54.93;82.82;53.5233333333333;55.76;84.55;38;16.98;16.98;11.3;22.9;65.71;42.1;83.2;4710.68;0.89;13.31;13.31;835.49;823.59;187819.92;46;545.87;545.87;20;30;50;1.2;4.08374214920399;23.1326535543156;0;0
2;"Wred";"b";55.81;54.16;81.49;54.6666666666667;54.93;82.82;39;15.21;15.21;8.8;21.6;76.65;50.8;93.3;2353.12;0.56;13.25;13.25;850.7;838.8;190173.05;46;559.12;559.12;20;30;50;1.2;4.09048319489709;23.3221294709737;0;0
2;"Wred";"b";55.21;53.89;80.04;55.81;54.16;81.49;40;21.57;21.57;15.6;28.6;62.44;39.5;85.8;3545.18;0.76;13.19;13.19;872.27;860.37;193718.22;46;572.31;572.31;20;30;50;1.2;4.09595588675962;23.5027903303831;0;0
2;"Wred";"b";54.2;53.39;77.72;55.21;53.89;80.04;41;17.91;17.91;13.9;23.2;71.94;50.9;95.9;3714.1;1.39;13.13;13.13;890.18;878.28;197432.33;46;585.44;585.44;20;30;50;1.2;4.1004004412613;23.6749407606461;0;0
2;"Wred";"b";53.38;52.91;74.85;54.2;53.39;77.72;42;14.85;14.85;8.7;21.1;64.62;37.7;91;3928.95;0.8;13.07;13.07;905.03;893.14;201361.28;46;598.51;598.51;20;30;50;1.2;4.10401167722168;23.8388884142394;0;0
2;"Wred";"b";53.1;52.71;72.21;53.38;52.91;74.85;43;15.89;15.89;8.4;24.1;62.14;35.3;91.6;5655.45;0.81;13.01;13.01;920.92;909.03;207016.72;46;611.52;611.52;20;30;50;1.2;4.10694744501526;23.994941952441;0;0
2;"Wred";"b";52.86;52.57;67.74;53.1;52.71;72.21;44;17.25;17.25;6.8;27.7;60.64;31;93.8;5511.1;0.69;12.95;12.95;938.17;926.27;212527.83;46;624.47;624.47;20;30;50;1.2;4.10933556556804;24.1434092610712;0;0
2;"Wred";"b";52.51;52.6;64.18;52.86;52.57;67.74;45;19.18;19.18;10.1;26.7;68.12;47.3;91.2;4483.5;0.87;12.89;12.89;957.35;945.46;217011.33;46;637.36;637.36;20;30;50;1.2;4.11127951117198;24.2845958859868;0;0
