nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
100,100,100,100,100,100,1,10.7,10.7,6,15.6,68.5,59,77,3300.6,4,13.77,13.77,10.7,10.7,3300.6,0,13.77,13.77,19.5,36,44.5,1.2,0.18,10.63,0
,,,,,,2,10.9,10.9,2.9,15.5,62.2,38,79,3706.4,3.2,13.83,13.83,21.6,21.6,7007,0,27.6,27.6,19.5,36,44.5,1.2,0.18,10.63,0
,,,,,,3,7.3,0,2.6,12.3,71.8,69,75,2523.1,2.3,13.89,0,28.9,21.6,9530.1,2.8,41.49,27.6,19.5,36,44.5,1.2,0.18,10.63,0
,,,,,,4,10.5,10.5,2.8,19.8,83.5,68,100,6071.4,1.7,13.95,13.95,39.4,32.1,15601.5,3,55.44,41.55,19.5,36,44.5,1.2,0.18,10.63,2.8
,,,,,,5,14.8,14.8,7.1,23.2,71,42,95,4168.3,2.5,14,14,54.2,46.9,19769.8,7.2,69.44,55.55,19.5,36,44.5,1.2,0.18,10.63,0.2
,,,,,,6,14.3,14.3,10,20.6,80.8,58,97,4776.7,3.5,14.06,14.06,68.5,61.2,24546.5,9.8,83.5,69.61,19.5,36,44.5,1.2,0.18,10.63,4.2
,,,,,,7,10.9,10.9,7.9,13.9,74,63,87,3214.4,4.9,14.12,14.12,79.4,72.1,27760.9,11.2,97.62,83.73,19.5,36,44.5,1.2,0.18,10.63,2.6
,,,,,,8,8.8,0,2.8,11.4,72,49,94,3359.4,2.6,14.17,0,88.2,72.1,31120.3,11.2,111.79,83.73,19.5,36,44.5,1.2,0.18,10.63,1.4
,,,,,,9,7.3,0,-0.4,13.7,66.2,49,84,5946.9,1.4,14.23,0,95.5,72.1,37067.2,11.2,126.02,83.73,19.5,36,44.5,1.2,0.18,10.63,0
,,,,,,10,10.5,10.5,1.2,18.4,64,44,91,6183.3,1.3,14.29,14.29,106,82.6,43250.5,13.1,140.31,98.02,19.5,36,44.5,1.2,0.18,10.63,0
,,,,,,11,13.3,13.3,9.6,19.7,89.5,85,96,1543.9,2.1,14.34,14.34,119.3,95.9,44794.4,27.4,154.65,112.36,19.5,36,44.5,1.2,0.18,10.63,1.9
,,,,,,12,12.6,12.6,8.7,15.7,82.2,72,97,2672.5,2.6,14.4,14.4,131.9,108.5,47466.9,27.4,169.05,126.76,19.5,36,44.5,1.2,0.18,10.63,14.3
,,,,,,13,14.4,14.4,10.2,20.6,60.5,41,80,4847.5,2.5,14.45,14.45,146.3,122.9,52314.4,27.4,183.5,141.21,19.5,36,44.5,1.2,0.18,10.63,0
,,,,,,14,14.1,14.1,8.2,20.2,63.5,48,78,4763.3,1.5,14.51,14.51,160.4,137,57077.7,27.5,198.01,155.72,19.5,36,44.5,1.2,0.22,11.05,0
,,,,,,15,12.5,12.5,7.3,18,69.8,54,83,5117.5,3.2,14.56,14.56,172.9,149.5,62195.2,27.5,212.57,170.28,19.5,36,44.5,1.2,0.27,11.48,0.1
