tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,78.1
1,nFK_1020,79
1,nFK_2030,61.5
1,nFK_3040,37.8
1,nFK_4050,25.9
1,nFK_5060,34
2,nFK_0010,68
2,nFK_1020,64.71
2,nFK_2030,61.42
2,nFK_3040,56.13
2,nFK_4050,50.85
2,nFK_5060,45.56
3,nFK_0010,56.62
3,nFK_1020,58.49
3,nFK_2030,60.35
3,nFK_3040,56.51
3,nFK_4050,52.68
3,nFK_5060,48.84
4,nFK_0010,45.87
4,nFK_1020,52.72
4,nFK_2030,59.57
4,nFK_3040,56.52
4,nFK_4050,53.48
4,nFK_5060,50.44
5,nFK_0010,44.93
5,nFK_1020,51.87
5,nFK_2030,58.82
5,nFK_3040,56.26
5,nFK_4050,53.7
5,nFK_5060,51.13
6,nFK_0010,56.28
6,nFK_1020,57.16
6,nFK_2030,58.05
6,nFK_3040,55.89
6,nFK_4050,53.73
6,nFK_5060,51.57
7,nFK_0010,51.22
7,nFK_1020,54.21
7,nFK_2030,57.19
7,nFK_3040,55.36
7,nFK_4050,53.52
7,nFK_5060,51.68
8,nFK_0010,46.11
8,nFK_1020,51.5
8,nFK_2030,56.88
8,nFK_3040,55.21
8,nFK_4050,53.54
8,nFK_5060,51.87
9,nFK_0010,40.39
9,nFK_1020,48.47
9,nFK_2030,56.56
9,nFK_3040,55.04
9,nFK_4050,53.51
9,nFK_5060,51.99
10,nFK_0010,35.12
10,nFK_1020,45.62
10,nFK_2030,56.12
10,nFK_3040,54.77
10,nFK_4050,53.43
10,nFK_5060,52.08
11,nFK_0010,32.25
11,nFK_1020,43.87
11,nFK_2030,55.5
11,nFK_3040,54.38
11,nFK_4050,53.26
11,nFK_5060,52.15
12,nFK_0010,50.69
12,nFK_1020,52.55
12,nFK_2030,54.4
12,nFK_3040,53.74
12,nFK_4050,53.08
12,nFK_5060,52.42
13,nFK_0010,62.13
13,nFK_1020,57.42
13,nFK_2030,52.71
13,nFK_3040,52.68
13,nFK_4050,52.66
13,nFK_5060,52.63
14,nFK_0010,54.54
14,nFK_1020,53.07
14,nFK_2030,51.6
14,nFK_3040,51.88
14,nFK_4050,52.17
14,nFK_5060,52.46
15,nFK_0010,46.76
15,nFK_1020,48.59
15,nFK_2030,50.42
15,nFK_3040,51.11
15,nFK_4050,51.8
15,nFK_5060,52.49
16,nFK_0010,36.61
16,nFK_1020,42.83
16,nFK_2030,49.05
16,nFK_3040,50.25
16,nFK_4050,51.45
16,nFK_5060,52.65
17,nFK_0010,28.22
17,nFK_1020,37.88
17,nFK_2030,47.54
17,nFK_3040,49.32
17,nFK_4050,51.1
17,nFK_5060,52.88
18,nFK_0010,21.44
18,nFK_1020,33.67
18,nFK_2030,45.9
18,nFK_3040,48.31
18,nFK_4050,50.72
18,nFK_5060,53.13
19,nFK_0010,15.24
19,nFK_1020,29.54
19,nFK_2030,43.85
19,nFK_3040,47.05
19,nFK_4050,50.25
19,nFK_5060,53.45
20,nFK_0010,44.96
20,nFK_1020,43.83
20,nFK_2030,42.69
20,nFK_3040,46.36
20,nFK_4050,50.04
20,nFK_5060,53.71
21,nFK_0010,42.31
21,nFK_1020,41.99
21,nFK_2030,41.66
21,nFK_3040,45.77
21,nFK_4050,49.87
21,nFK_5060,53.97
22,nFK_0010,34.31
22,nFK_1020,37.31
22,nFK_2030,40.31
22,nFK_3040,44.91
22,nFK_4050,49.5
22,nFK_5060,54.09
23,nFK_0010,28.55
23,nFK_1020,33.96
23,nFK_2030,39.37
23,nFK_3040,44.34
23,nFK_4050,49.32
23,nFK_5060,54.3
24,nFK_0010,58.75
24,nFK_1020,48.99
24,nFK_2030,39.24
24,nFK_3040,44.22
24,nFK_4050,49.2
24,nFK_5060,54.18
25,nFK_0010,44.23
25,nFK_1020,41.77
25,nFK_2030,39.3
25,nFK_3040,44.3
25,nFK_4050,49.3
25,nFK_5060,54.3
26,nFK_0010,34.29
26,nFK_1020,36.49
26,nFK_2030,38.69
26,nFK_3040,43.96
26,nFK_4050,49.23
26,nFK_5060,54.5
27,nFK_0010,28.05
27,nFK_1020,33.15
27,nFK_2030,38.26
27,nFK_3040,43.77
27,nFK_4050,49.28
27,nFK_5060,54.79
28,nFK_0010,22.28
28,nFK_1020,30.12
28,nFK_2030,37.96
28,nFK_3040,43.7
28,nFK_4050,49.44
28,nFK_5060,55.19
