tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,78.1
1,nFK_1020,79
1,nFK_2030,61.5
1,nFK_3040,37.8
1,nFK_4050,25.9
1,nFK_5060,34
2,nFK_0010,68
2,nFK_1020,64.71
2,nFK_2030,61.42
2,nFK_3040,56.13
2,nFK_4050,50.85
2,nFK_5060,45.56
3,nFK_0010,56.62
3,nFK_1020,58.49
3,nFK_2030,60.35
3,nFK_3040,56.51
3,nFK_4050,52.68
3,nFK_5060,48.84
4,nFK_0010,45.87
4,nFK_1020,52.72
4,nFK_2030,59.57
4,nFK_3040,56.52
4,nFK_4050,53.48
4,nFK_5060,50.44
5,nFK_0010,44.93
5,nFK_1020,51.87
5,nFK_2030,58.82
5,nFK_3040,56.26
5,nFK_4050,53.7
5,nFK_5060,51.13
6,nFK_0010,56.28
6,nFK_1020,57.16
6,nFK_2030,58.05
6,nFK_3040,55.89
6,nFK_4050,53.73
6,nFK_5060,51.57
7,nFK_0010,51.22
7,nFK_1020,54.21
7,nFK_2030,57.19
7,nFK_3040,55.36
7,nFK_4050,53.52
7,nFK_5060,51.68
8,nFK_0010,46.11
8,nFK_1020,51.5
8,nFK_2030,56.88
8,nFK_3040,55.21
8,nFK_4050,53.54
8,nFK_5060,51.87
9,nFK_0010,40.39
9,nFK_1020,48.47
9,nFK_2030,56.56
9,nFK_3040,55.04
9,nFK_4050,53.51
9,nFK_5060,51.99
10,nFK_0010,35.12
10,nFK_1020,45.62
10,nFK_2030,56.12
10,nFK_3040,54.77
10,nFK_4050,53.43
10,nFK_5060,52.08
11,nFK_0010,32.25
11,nFK_1020,43.87
11,nFK_2030,55.5
11,nFK_3040,54.38
11,nFK_4050,53.26
11,nFK_5060,52.15
12,nFK_0010,50.69
12,nFK_1020,52.55
12,nFK_2030,54.4
12,nFK_3040,53.74
12,nFK_4050,53.08
12,nFK_5060,52.42
13,nFK_0010,62.13
13,nFK_1020,57.42
13,nFK_2030,52.71
13,nFK_3040,52.68
13,nFK_4050,52.66
13,nFK_5060,52.63
14,nFK_0010,54.54
14,nFK_1020,53.07
14,nFK_2030,51.6
14,nFK_3040,51.88
14,nFK_4050,52.17
14,nFK_5060,52.46
15,nFK_0010,45.26
15,nFK_1020,47.7
15,nFK_2030,50.14
15,nFK_3040,50.92
15,nFK_4050,51.7
15,nFK_5060,52.48
16,nFK_0010,36.21
16,nFK_1020,42.39
16,nFK_2030,48.57
16,nFK_3040,49.89
16,nFK_4050,51.21
16,nFK_5060,52.52
17,nFK_0010,29.56
17,nFK_1020,38.26
17,nFK_2030,46.96
17,nFK_3040,48.85
17,nFK_4050,50.74
17,nFK_5060,52.63
18,nFK_0010,23.76
18,nFK_1020,34.4
18,nFK_2030,45.04
18,nFK_3040,47.63
18,nFK_4050,50.22
18,nFK_5060,52.8
