tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,98.8
1,nFK_1020,69.4
1,nFK_2030,59.9
1,nFK_3040,53.4
1,nFK_4050,65.8
1,nFK_5060,78.4
2,nFK_0010,85.2
2,nFK_1020,73.17
2,nFK_2030,61.13
2,nFK_3040,66.93
2,nFK_4050,72.73
2,nFK_5060,78.53
3,nFK_0010,76.54
3,nFK_1020,68.73
3,nFK_2030,60.92
3,nFK_3040,66.83
3,nFK_4050,72.74
3,nFK_5060,78.65
4,nFK_0010,69.18
4,nFK_1020,64.73
4,nFK_2030,60.28
4,nFK_3040,66.4
4,nFK_4050,72.53
4,nFK_5060,78.65
5,nFK_0010,65.81
5,nFK_1020,62.46
5,nFK_2030,59.11
5,nFK_3040,65.55
5,nFK_4050,71.98
5,nFK_5060,78.42
6,nFK_0010,52.92
6,nFK_1020,55.57
6,nFK_2030,58.23
6,nFK_3040,64.94
6,nFK_4050,71.65
6,nFK_5060,78.35
7,nFK_0010,42.15
7,nFK_1020,49.81
7,nFK_2030,57.48
7,nFK_3040,64.46
7,nFK_4050,71.44
7,nFK_5060,78.42
8,nFK_0010,75.06
8,nFK_1020,66.18
8,nFK_2030,57.3
8,nFK_3040,64.27
8,nFK_4050,71.24
8,nFK_5060,78.21
9,nFK_0010,97.4
9,nFK_1020,83.62
9,nFK_2030,69.84
9,nFK_3040,72.44
9,nFK_4050,75.04
9,nFK_5060,77.64
10,nFK_0010,91.18
10,nFK_1020,81.91
10,nFK_2030,72.64
10,nFK_3040,74.2
10,nFK_4050,75.75
10,nFK_5060,77.31
11,nFK_0010,91.74
11,nFK_1020,82.81
11,nFK_2030,73.89
11,nFK_3040,74.94
11,nFK_4050,75.98
11,nFK_5060,77.03
12,nFK_0010,87.52
12,nFK_1020,80.78
12,nFK_2030,74.05
12,nFK_3040,74.93
12,nFK_4050,75.82
12,nFK_5060,76.71
13,nFK_0010,82.66
13,nFK_1020,78.17
13,nFK_2030,73.69
13,nFK_3040,74.66
13,nFK_4050,75.64
13,nFK_5060,76.62
14,nFK_0010,79.78
14,nFK_1020,76.41
14,nFK_2030,73.03
14,nFK_3040,74.21
14,nFK_4050,75.39
14,nFK_5060,76.57
15,nFK_0010,95.33
15,nFK_1020,85.88
15,nFK_2030,76.43
15,nFK_3040,76.47
15,nFK_4050,76.51
15,nFK_5060,76.55
16,nFK_0010,98.74
16,nFK_1020,89.06
16,nFK_2030,79.38
16,nFK_3040,78.46
16,nFK_4050,77.54
16,nFK_5060,76.62
17,nFK_0010,88.6
17,nFK_1020,83.5
17,nFK_2030,78.4
17,nFK_3040,77.88
17,nFK_4050,77.36
17,nFK_5060,76.83
18,nFK_0010,80.79
18,nFK_1020,79.01
18,nFK_2030,77.24
18,nFK_3040,77.16
18,nFK_4050,77.08
18,nFK_5060,77
19,nFK_0010,71.94
19,nFK_1020,74.12
19,nFK_2030,76.31
19,nFK_3040,76.6
19,nFK_4050,76.89
19,nFK_5060,77.18
20,nFK_0010,63.03
20,nFK_1020,69.26
20,nFK_2030,75.48
20,nFK_3040,76.11
20,nFK_4050,76.75
20,nFK_5060,77.38
21,nFK_0010,52.24
21,nFK_1020,63.45
21,nFK_2030,74.66
21,nFK_3040,75.63
21,nFK_4050,76.6
21,nFK_5060,77.57
22,nFK_0010,41.65
22,nFK_1020,57.77
22,nFK_2030,73.88
22,nFK_3040,75.25
22,nFK_4050,76.62
22,nFK_5060,77.98
23,nFK_0010,32.03
23,nFK_1020,52.47
23,nFK_2030,72.9
23,nFK_3040,74.73
23,nFK_4050,76.56
23,nFK_5060,78.38
24,nFK_0010,24.6
24,nFK_1020,48.23
24,nFK_2030,71.86
24,nFK_3040,74.2
24,nFK_4050,76.53
24,nFK_5060,78.86
25,nFK_0010,17.61
25,nFK_1020,44.26
25,nFK_2030,70.91
25,nFK_3040,73.75
25,nFK_4050,76.59
25,nFK_5060,79.43
